timestamp,pow,traw,tmu,cd,cv,ci,cstatus,ctemp
618,156,90,33843,9125,1003,2691,0,73750
620,161,90,33845,9125,1003,2671,0,74125
622,156,90,33849,9125,1001,2562,0,74625
624,153,90,33841,9125,1003,2539,0,74625
627,154,90,33839,9125,1003,2695,0,74625
629,160,90,33840,9125,1003,2691,0,74625
631,161,90,33851,9125,1004,2687,0,74625
633,164,90,33844,9125,1003,2664,0,74625
636,164,90,33853,9125,1004,2707,0,74125
638,163,90,33842,9125,1003,2652,0,73250
640,164,90,33835,9125,1003,2714,0,74125
642,159,90,33863,9125,1003,2687,0,74125
645,155,90,33853,9125,1003,2605,0,74625
652,158,91,33851,9125,1004,2613,0,74625
654,161,91,33849,9125,1004,2667,0,74625
656,156,91,33854,9125,1003,2609,0,74125
658,156,91,33854,9125,1003,2644,0,74625
661,160,91,33847,9125,1003,2722,0,74125
663,158,91,33862,9140,1003,2699,0,75125
665,163,91,33860,9125,1003,2660,0,74625
667,149,91,33847,9125,1003,2542,0,75125
670,149,91,33856,9125,1003,2664,0,74125
672,157,91,33846,9125,1003,2679,0,75125
674,157,91,33853,9125,1004,2699,0,73750
676,156,91,33854,9125,1003,2671,0,74625
679,165,91,33838,9125,1003,2664,0,74625
685,161,91,33842,9125,1003,2691,0,75125
688,156,91,33845,9125,1004,2656,0,75625
690,158,91,33848,9125,1004,2671,0,74625
692,162,92,33853,9140,1004,2691,0,76625
694,162,92,33860,9125,1003,2683,0,75625
697,162,92,33852,9125,1003,2675,0,74625
699,155,92,33850,9140,1003,2644,0,75625
701,157,92,33853,9125,1003,2699,0,75125
704,160,92,33863,9125,1003,2671,0,75125
706,160,92,33852,9125,1003,2679,0,75125
708,155,92,33858,9140,1003,2570,0,76125
710,159,92,33857,9125,1003,2691,0,75125
713,156,92,33844,9140,1004,2691,0,76125
724,161,92,33839,9125,1003,2691,0,75625
726,160,92,33845,9125,1003,2695,0,75625
728,157,92,33856,9140,1006,2605,0,76125
731,156,92,33855,9125,1003,2675,0,75125
733,158,92,33854,9140,1003,2648,0,75625
735,159,93,33850,9125,1004,2660,0,75125
737,158,93,33844,9140,1004,2582,0,76125
740,156,93,33862,9140,1003,2644,0,76125
742,161,93,33851,9125,1003,2675,0,75625
744,164,93,33843,9140,1006,2585,0,76125
746,160,93,33835,9125,1004,2746,0,75625
749,157,93,33829,9125,1004,2687,0,76125
751,159,93,33822,9125,1003,2699,0,76125
758,151,93,33826,9125,1004,2664,0,76125
760,162,93,33825,9140,1004,2699,0,75625
762,161,93,33835,9125,1003,2785,0,76125
765,159,93,33836,9125,1003,2679,0,76125
767,157,93,33828,9125,1004,2703,0,76125
769,154,93,33831,9125,1003,2683,0,77125
771,156,93,33831,9125,1003,2695,0,76625
774,158,93,33826,9125,1001,2691,0,74625
776,157,93,33825,9125,1004,2648,0,76625
778,161,93,33827,9140,1003,2699,0,76125
780,158,94,33843,9140,1003,2667,0,76625
783,154,94,33838,9125,1003,2585,0,76125
785,158,94,33836,9140,1004,2699,0,76625
787,158,94,33826,9125,1003,2566,0,76125
789,153,94,33844,9140,1004,2578,0,76625
792,164,94,33828,9140,1003,2722,0,76125
794,167,94,33829,9125,1001,2675,0,76125
796,154,94,33821,9125,1003,2652,0,76625
798,159,94,33809,9125,1003,2726,0,77125
801,157,94,33809,9125,1004,2761,0,75625
803,157,94,33808,9125,1004,2707,0,76125
805,155,94,33805,9125,1003,2687,0,75625
808,155,94,33806,9140,1003,2746,0,76125
810,160,94,33810,9140,1001,2738,0,76125
812,158,94,33816,9125,1003,2695,0,77625
814,160,94,33819,9140,1003,2695,0,77125
817,156,94,33835,9125,1003,2667,0,77125
819,151,94,33826,9125,1003,2691,0,76125
821,156,94,33836,9140,1003,2730,0,76625
823,160,94,33834,9125,1003,2667,0,76625
826,153,94,33810,9125,1003,2628,0,77125
828,158,94,33812,9125,1003,2691,0,76125
830,154,95,33814,9125,1001,2570,0,76625
832,158,95,33809,9125,1003,2636,0,77125
835,152,95,33816,9125,1001,2675,0,77125
837,153,95,33817,9140,1003,2605,0,77625
839,159,95,33805,9125,1003,2695,0,76625
841,156,95,33806,9125,1001,2699,0,76625
844,159,95,33815,9140,1004,2699,0,76625
846,157,95,33819,9125,1003,2671,0,76625
848,154,95,33815,9140,1003,2675,0,76625
850,159,95,33810,9125,1003,2687,0,76625
853,158,95,33821,9125,1004,2585,0,76625
855,150,95,33812,9125,1003,2605,0,77125
857,159,95,33805,9125,1003,2593,0,78125
859,157,95,33809,9140,1003,2652,0,78125
862,160,95,33808,9125,1003,2621,0,76625
864,160,95,33796,9125,1003,2578,0,77625
866,167,95,33805,9125,1003,2765,0,77625
869,157,95,33807,9125,1003,2644,0,77625
871,154,95,33816,9140,1004,2699,0,77625
873,158,95,33809,9125,1003,2699,0,78125
875,156,95,33809,9125,1004,2695,0,78125
878,158,96,33806,9140,1003,2691,0,77125
880,159,96,33802,9125,1003,2695,0,78125
882,154,96,33795,9125,1003,2640,0,78125
884,155,96,33786,9125,1003,2574,0,78125
887,150,96,33784,9125,1003,2691,0,77625
889,158,96,33782,9125,1003,2707,0,77625
891,158,96,33801,9140,1001,2726,0,78625
893,154,96,33802,9125,1001,2613,0,77625
896,159,96,33794,9140,1003,2761,0,77125
898,161,96,33802,9125,1001,2695,0,77625
900,162,96,33790,9125,1004,2714,0,77125
902,159,96,33799,9125,1003,2726,0,78125
905,157,96,33798,9125,1003,2687,0,77625
907,161,96,33801,9125,1003,2695,0,77125
909,162,96,33803,9140,1003,2703,0,77625
911,159,96,33812,9125,1003,2710,0,78125
914,156,96,33799,9125,1003,2679,0,78125
916,158,96,33793,9125,1003,2726,0,77625
918,157,96,33805,9140,1004,2691,0,78125
921,164,96,33806,9125,1003,2812,0,78125
923,159,96,33804,9125,1003,2683,0,77625
925,163,96,33807,9140,1004,2718,0,78125
927,157,96,33805,9140,1003,2703,0,78125
930,154,96,33821,9140,1004,2695,0,78125
932,158,96,33825,9140,1004,2738,0,78125
934,159,96,33818,9140,1003,2722,0,78125
936,157,97,33805,9140,1004,2714,0,77625
939,155,97,33809,9140,1003,2683,0,77625
